iter	Passed	Remaining
210	28705	107337
211	28713	106726
212	28721	106119
213	28729	105521
214	28737	104925
215	28745	104334
216	28753	103750
217	28761	103170
218	28769	102597
219	28776	102027
220	28784	101461
221	28793	100906
222	28802	100356
223	28810	99807
224	28818	99262
225	28825	98722
226	28834	98190
227	28843	97661
228	28851	97136
229	28858	96614
230	28869	96107
231	28877	95594
232	28885	95086
233	28892	94580
234	28901	94084
235	28909	93587
236	28917	93098
237	28925	92609
238	28934	92129
239	28941	91648
240	28950	91175
241	28958	90704
242	28966	90238
243	28974	89772
244	29260	90171
245	29346	89947
246	29353	89486
247	29376	89078
248	29419	88732
249	29468	88405
250	30542	91141
251	30579	90768
252	30587	90310
253	30596	89860
254	31107	90883
255	31153	90540
256	31162	90092
257	32565	93657
258	33777	96638
259	33797	96193
260	33815	95746
261	34391	96873
262	34647	97093
263	34821	97077
264	35075	97285
265	35346	97536
266	35602	97739
267	35611	97266
268	35624	96809
269	35632	96338
270	35641	95878
271	35681	95500
272	35777	95276
273	35800	94859
274	35807	94402
275	35840	94015
276	36028	94037
277	36315	94316
278	36538	94424
279	36629	94189
280	36873	94347
281	37126	94526
282	37398	94751
283	37667	94964
284	37938	95179
285	38161	95269
286	38478	95593
287	38603	95436
288	38723	95268
289	38733	94829
290	38781	94487
291	38788	94048
292	38938	93957
293	39019	93699
294	39270	93849
295	39362	93618
296	39371	93192
297	39493	93035
298	39543	92709
299	39720	92680
300	39759	92330
301	39766	91910
302	39784	91518
303	39791	91102
304	39953	91041
305	40207	91188
306	40428	91261
307	40698	91438
308	40968	91615
309	41187	91676
310	41456	91843
311	41844	92273
312	41854	91865
313	41876	91488
314	41885	91085
315	41968	90842
316	42236	91002
317	42262	90637
318	42490	90709
319	43019	91415
320	43258	91502
321	43315	91204
322	43351	90863
323	43463	90682
324	43518	90385
325	43539	90017
326	43548	89626
327	43555	89235
328	43654	89034
329	43791	88910
330	43829	88586
331	44003	88538
332	44517	89168
333	44787	89306
334	45007	89343
335	45031	88990
336	45040	88610
337	45062	88258
338	45102	87944
339	45358	88048
340	45613	88150
341	46203	88894
342	46441	88955
343	46713	89081
344	46998	89229
345	47268	89346
346	47535	89455
347	47633	89245
348	47640	88865
349	47665	88521
350	47672	88145
351	47774	87948
352	47783	87580
353	47800	87229
354	47809	86865
355	47824	86514
356	48489	87336
357	48757	87437
358	48982	87458
359	49185	87440
360	49423	87483
361	49591	87402
362	49644	87117
363	49882	87157
364	50026	87033
365	50278	87095
366	50484	87075
367	50738	87137
368	50932	87096
369	50939	86734
370	51086	86613
371	51871	87567
372	52095	87570
373	52302	87544
374	52512	87521
375	53184	88263
376	53388	88226
377	53659	88297
378	53885	88291
379	53966	88051
380	53986	87710
381	53995	87353
382	54057	87085
383	54250	87026
384	54259	86673
385	54310	86390
386	54363	86111
387	54397	85802
388	54404	85453
389	54427	85130
390	54434	84783
391	54705	84849
392	54991	84935
393	55164	84847
394	55448	84927
395	55685	84934
396	55860	84845
397	56003	84708
398	56194	84644
399	56423	84635
400	56655	84630
401	57475	85497
402	57482	85153
403	57489	84811
404	57579	84592
405	57819	84593
406	58058	84591
407	58325	84629
408	58495	84525
409	58539	84239
410	58555	83914
411	58630	83676
412	58903	83720
413	59131	83697
414	59140	83367
415	59149	83036
416	59157	82707
417	59166	82379
418	59175	82054
419	59182	81728
420	59192	81406
421	59199	81083
422	59208	80764
423	59216	80444
424	59225	80128
425	59233	79812
426	59242	79498
427	59249	79184
428	59258	78873
429	59266	78562
430	59274	78253
431	59283	77947
432	59291	77640
433	59300	77336
434	59308	77033
435	59317	76731
436	59325	76430
437	59335	76133
438	59343	75834
439	59352	75539
440	59360	75243
441	59368	74949
442	59376	74656
443	59384	74364
444	59392	74074
445	59400	73784
446	59407	73495
447	59416	73209
448	59423	72923
449	59432	72639
450	59439	72355
451	59447	72073
452	59455	71792
453	59538	71604
454	59576	71361
455	59793	71332
456	60824	72270
457	60832	71989
458	61201	72134
459	61452	72139
460	61461	71860
461	62459	72734
462	62467	72451
463	62474	72168
464	62660	72093
465	63176	72395
466	63557	72540
467	63565	72257
468	63572	71976
469	63597	71716
470	63607	71440
471	63615	71162
472	63623	70886
473	63630	70610
474	63637	70336
475	63645	70063
476	64065	70243
477	64524	70464
478	64869	70557
479	64876	70283
480	64883	70009
481	65073	69933
482	65083	69664
483	65089	69393
484	65100	69127
485	65107	68858
486	65141	68619
487	65149	68353
488	65389	68331
489	65396	68065
490	65403	67801
491	65410	67537
492	65443	67302
493	65458	67048
494	65466	66789
495	65473	66529
496	65481	66272
497	65489	66015
498	65497	65760
499	65504	65504
500	65512	65251
501	65519	64997
502	65571	64788
503	65577	64537
504	65584	64286
505	65592	64036
506	65634	63822
507	65642	63574
508	65649	63327
509	65656	63081
510	65663	62836
511	65795	62711
512	65802	62467
513	65810	62225
514	65817	61983
515	65895	61808
516	65912	61577
517	65919	61338
518	65927	61100
519	65936	60864
520	66030	60707
521	66037	60471
522	66045	60236
523	66052	60001
524	66121	59824
525	66137	59599
526	66146	59368
527	66153	59137
528	66161	58907
529	66282	58778
530	66289	58549
531	66296	58320
532	66303	58093
533	66310	57866
534	66387	57700
535	66393	57475
536	66400	57250
537	66407	57026
538	66446	56831
539	66453	56608
540	66467	56392
541	66539	56227
542	66546	56007
543	66587	55816
544	66594	55597
545	66601	55379
546	66609	55162
547	66632	54959
548	66752	54836
549	66759	54621
550	66765	54406
551	66772	54192
552	67068	54212
553	67075	53999
554	67082	53787
555	67089	53575
556	67096	53364
557	67302	53311
558	67309	53100
559	67315	52891
560	67322	52682
561	67379	52512
562	67386	52305
563	67393	52098
564	67400	51892
565	67407	51686
566	67481	51533
567	67488	51329
568	67496	51126
569	67502	50923
570	67509	50720
571	67585	50570
572	67591	50369
573	67599	50169
574	67606	49969
575	67683	49822
576	67695	49627
577	67707	49433
578	67719	49240
579	67938	49197
580	67961	49011
581	67968	48815
582	67975	48620
583	67982	48426
584	68069	48288
585	68082	48099
586	68097	47911
587	68108	47722
588	68298	47658
589	68305	47466
590	68312	47275
591	68337	47097
592	68344	46907
593	68399	46751
594	68406	46562
595	68428	46384
596	68435	46196
597	68500	46048
598	68508	45862
599	68542	45695
600	68549	45509
601	68556	45325
602	68658	45202
603	68665	45019
604	68672	44835
605	68679	44653
606	68726	44496
607	68733	44315
608	68740	44133
609	68765	43965
610	68772	43784
611	68829	43636
612	68836	43457
613	68873	43298
614	68879	43119
615	68886	42942
616	68930	42788
617	68937	42611
618	68970	42451
619	68976	42276
620	69035	42132
621	69042	41958
622	69068	41796
623	69075	41622
624	69082	41449
625	69139	41306
626	69162	41144
627	69169	40972
628	69176	40801
629	69183	40631
630	69240	40490
631	69270	40334
632	69277	40165
633	69284	39996
634	69335	39854
635	69342	39686
636	69370	39531
637	69377	39364
638	69384	39198
639	69436	39057
640	69442	38892
641	69450	38727
642	69483	38577
643	69496	38417
644	69537	38272
645	69544	38109
646	69578	37961
647	69585	37799
648	69675	37682
649	69682	37521
650	69693	37362
651	69705	37204
652	69712	37044
653	69786	36920
654	69793	36761
655	69800	36602
656	69807	36444
657	69850	36305
658	69857	36147
659	69865	35991
660	69893	35845
661	69900	35689
662	69954	35557
663	69962	35402
664	69984	35255
665	69991	35100
666	70068	34981
667	70095	34837
668	70102	34684
669	70109	34531
670	70117	34379
671	71333	34817
672	71353	34669
673	71476	34571
674	71489	34420
675	71610	34322
676	71617	34169
677	71625	34016
678	71631	33864
679	71639	33712
680	71731	33601
681	71738	33450
682	71745	33299
683	71753	33149
684	71830	33031
685	71838	32882
686	71845	32733
687	71852	32584
688	71859	32436
689	71959	32329
690	72182	32278
691	72193	32132
692	72230	31998
693	72293	31875
694	72356	31753
695	72452	31646
696	72627	31572
697	72828	31510
698	72837	31365
699	72847	31220
700	72861	31077
701	72931	30959
702	73044	30859
703	73202	30778
704	73374	30702
705	73549	30628
706	73723	30553
707	73782	30430
708	73797	30289
709	73809	30147
710	73915	30044
711	74058	29956
712	74237	29882
713	74261	29746
714	74299	29615
715	74348	29490
716	74448	29385
717	74455	29243
718	74506	29118
719	74795	29087
720	75048	29040
721	75223	28964
722	75389	28883
723	75515	28787
724	75765	28738
725	75999	28683
726	76161	28599
727	76331	28519
728	76394	28399
729	76416	28263
730	76442	28129
731	76472	27998
732	76537	27879
733	76585	27754
734	76616	27623
735	76651	27494
736	76714	27375
737	76775	27256
738	76806	27126
739	76985	27048
740	77002	26914
741	77028	26783
742	77044	26649
743	77097	26528
744	77126	26399
745	77142	26265
746	77163	26134
747	77282	26036
748	77680	26031
749	77934	25978
750	78205	25929
751	78425	25863
752	78890	25877
753	78937	25754
754	78969	25625
755	78987	25493
756	79005	25360
757	79039	25234
758	79067	25105
759	79085	24974
760	79126	24850
761	79176	24729
762	79194	24598
763	79222	24471
764	79237	24340
765	79291	24222
766	79332	24099
767	79380	23979
768	79398	23850
769	79459	23734
770	79491	23610
771	79507	23481
772	79545	23359
773	79619	23248
774	79650	23124
775	79668	22996
776	79703	22874
777	79826	22778
778	80261	22769
779	80319	22654
780	80366	22535
781	80401	22413
782	80431	22290
783	80462	22168
784	80480	22042
785	80511	21920
786	80591	21811
787	80651	21698
788	80673	21574
789	80681	21446
790	80688	21319
791	80748	21206
792	80782	21087
793	80849	20975
794	80876	20855
795	80952	20746
796	80970	20623
797	81019	20508
798	81046	20388
799	81229	20307
800	81333	20206
801	81350	20084
802	81427	19976
803	81445	19854
804	81475	19736
805	81569	19633
806	81603	19516
807	81649	19401
808	81683	19285
809	81736	19172
810	81760	19053
811	81812	18941
812	82301	18930
813	82541	18860
814	82622	18754
815	82653	18637
816	82672	18517
817	82717	18404
818	82758	18289
819	82862	18189
820	83052	18107
821	83261	18029
822	83459	17949
823	83691	17875
824	83750	17765
825	83797	17652
826	83805	17531
827	83824	17412
828	83947	17315
829	84682	17344
830	85082	17303
831	85122	17188
832	85192	17079
833	85199	16958
834	85205	16837
835	85213	16716
836	85272	16606
837	85419	16513
838	85462	16399
839	85522	16289
840	85532	16170
841	85623	16067
842	85632	15948
843	85650	15831
844	85657	15712
845	85674	15595
846	85833	15504
847	86017	15418
848	86286	15346
849	86556	15274
850	86810	15199
851	86879	15091
852	86912	14977
853	86921	14860
854	86943	14744
855	86950	14627
856	86957	14509
857	87225	14435
858	87481	14359
859	88263	14368
860	88549	14295
861	88820	14219
862	89717	14242
863	89987	14164
864	90009	14047
865	90017	13928
866	90291	13850
867	90572	13773
868	90829	13692
869	91069	13608
870	91338	13527
871	91451	13424
872	91496	13310
873	91751	13227
874	91975	13139
875	92117	13039
876	92406	12960
877	92612	12868
878	92896	12787
879	93855	12798
880	94126	12713
881	94427	12633
882	94699	12547
883	94950	12459
884	95222	12373
885	95475	12284
886	95673	12188
887	95681	12067
888	95689	11947
889	95697	11827
890	95705	11708
891	95713	11588
892	95722	11469
893	95729	11350
894	95739	11231
895	95746	11113
896	95754	10995
897	95762	10877
898	95770	10759
899	95777	10641
900	95786	10524
901	95794	10407
902	95802	10291
903	95809	10174
904	95817	10058
905	95825	9942
906	95833	9826
907	95841	9710
908	95854	9595
909	95862	9480
910	95869	9365
911	95884	9252
912	95892	9137
913	95900	9023
914	95908	8909
915	95917	8795
916	95925	8682
917	95934	8569
918	95943	8456
919	95951	8343
920	95959	8231
921	95967	8118
922	95974	8006
923	95986	7895
924	95994	7783
925	96003	7672
926	96092	7567
927	96226	7465
928	96262	7357
929	96269	7246
930	96276	7135
931	96331	7028
932	96428	6924
933	97360	6879
934	97368	6768
935	97829	6689
936	97874	6580
937	98911	6537
938	99648	6473
939	99658	6361
940	99665	6248
941	99672	6136
942	99681	6025
943	99689	5913
944	99884	5813
945	100456	5734
946	100462	5622
947	100467	5510
948	100473	5399
949	100478	5288
950	100484	5177
951	100490	5066
952	100495	4956
953	100501	4845
954	100507	4735
955	100512	4626
956	100518	4516
957	100523	4407
958	100528	4297
959	100534	4188
960	100540	4080
961	100545	3971
962	100551	3863
963	100557	3755
964	100562	3647
965	100569	3539
966	100574	3432
967	100580	3324
968	100587	3217
969	100592	3111
970	100597	3004
971	100604	2898
972	100609	2791
973	100615	2685
974	100621	2580
975	100627	2474
976	100633	2369
977	100639	2263
978	100644	2158
979	100651	2054
980	100656	1949
981	100662	1845
982	100669	1740
983	100674	1636
984	100680	1533
985	100686	1429
986	100692	1326
987	100697	1223
988	100703	1120
989	100709	1017
990	100715	914
991	100720	812
992	100726	710
993	100731	608
994	100737	506
995	100742	404
996	100748	303
997	100753	201
998	100759	100
999	100765	0
