iter	Logloss
0	0.658077715
1	0.6273862254
2	0.5988887241
3	0.5744205839
4	0.5515914476
5	0.5314598168
6	0.51293922
7	0.4957572657
8	0.4817378073
9	0.4681642958
10	0.4559373592
11	0.4444419997
12	0.4341030298
13	0.4246706022
14	0.4165430135
15	0.4084800084
16	0.4013989307
17	0.3965685202
18	0.3904117881
19	0.3841803257
20	0.3787324115
21	0.374348898
22	0.3705416746
23	0.3651884009
24	0.3616325539
25	0.3576794879
26	0.3543077854
27	0.3510461066
28	0.3481294991
29	0.344954389
30	0.3418804307
31	0.3396699896
32	0.3368131097
33	0.3348986091
34	0.3329890253
35	0.331184897
36	0.3289189186
37	0.3270619047
38	0.3254095843
39	0.3236859588
40	0.3223137844
41	0.3203433466
42	0.3184385008
43	0.317167707
44	0.3156607951
45	0.3139644886
46	0.3128596416
47	0.3121255123
48	0.3106781781
49	0.3096922003
50	0.3084282407
51	0.3074970382
52	0.3067132196
53	0.3056480735
54	0.3048769632
55	0.3041843554
56	0.3034801909
57	0.3029430097
58	0.3022187176
59	0.30129045
60	0.3005543832
61	0.2999500894
62	0.2993836016
63	0.2987739873
64	0.2982025793
65	0.2976604141
66	0.296807428
67	0.2959284793
68	0.2954998811
69	0.2950409228
70	0.2945762342
71	0.2941371194
72	0.2936497525
73	0.2931966469
74	0.292780949
75	0.2922426121
76	0.2918718473
77	0.2914756645
78	0.2908711073
79	0.290421267
80	0.2901403108
81	0.2897577254
82	0.2892701112
83	0.2888965506
84	0.2885283001
85	0.2879824103
86	0.2877107681
87	0.2874695509
88	0.2869446515
89	0.2867255058
90	0.2861790097
91	0.2858681538
92	0.2856693352
93	0.2852862157
94	0.2850311834
95	0.2846236111
96	0.2843667692
97	0.284121492
98	0.2836600417
99	0.2834640378
100	0.2832148621
101	0.2828229858
102	0.2826145473
103	0.2824203088
104	0.2822336817
105	0.2818545861
106	0.2815305903
107	0.2812506809
108	0.281081513
109	0.2809133951
110	0.2807209836
111	0.2806027688
112	0.2804608112
113	0.2800892358
114	0.2797766289
115	0.2795504317
116	0.279364103
117	0.2790471135
118	0.2786616008
119	0.2784372229
120	0.2782953304
121	0.2779899162
122	0.2777192261
123	0.2775732391
124	0.2772793285
125	0.2769865493
126	0.2768880891
127	0.2766192825
128	0.2764697535
129	0.2763512277
130	0.2760947843
131	0.2759082675
132	0.2755418499
133	0.2753437414
134	0.275234251
135	0.2749188539
136	0.2745912513
137	0.2744325377
138	0.2741836132
139	0.2740468078
140	0.2738254867
141	0.2735713817
142	0.2732692306
143	0.2730448512
144	0.2728363933
145	0.272666401
146	0.2723830625
147	0.2722543636
148	0.272024249
149	0.2719136703
150	0.2717222745
151	0.2715031021
152	0.2713329228
153	0.2712199384
154	0.2709827406
155	0.2708587325
156	0.2705453542
157	0.2702489597
158	0.2700210455
159	0.2698605417
160	0.2695518724
161	0.2694301241
162	0.2693533071
163	0.2690282603
164	0.2687808558
165	0.2685832629
166	0.2684907087
167	0.26830021
168	0.2681477492
169	0.2679362594
170	0.2676994979
171	0.267525606
172	0.2674411596
173	0.267378783
174	0.2672820187
175	0.2671970328
176	0.2670254161
177	0.266817081
178	0.2666397596
179	0.26643936
180	0.2662830088
181	0.2661118042
182	0.2660133488
183	0.2656805759
184	0.2656140271
185	0.2654423271
186	0.2652493663
187	0.2651596918
188	0.2650301404
189	0.2647681694
190	0.26457943
191	0.2643373905
192	0.2642255937
193	0.2641376743
194	0.2639394465
195	0.2638487035
196	0.2636641416
197	0.2635588979
198	0.2634510728
199	0.2632403789
200	0.2630763391
201	0.263022987
202	0.2628952189
203	0.2628152391
204	0.262702596
205	0.262555544
206	0.2623855888
207	0.262329611
208	0.2621878783
209	0.2620460048
210	0.261958403
211	0.2616979226
212	0.2616021948
213	0.2614234411
214	0.261281841
215	0.2611258956
216	0.2610042335
217	0.2609674564
218	0.260848905
219	0.2607633187
220	0.2607114494
221	0.2606288829
222	0.2605415921
223	0.2603623782
224	0.2602527184
225	0.2601937882
226	0.2601340708
227	0.2600833733
228	0.2599764676
229	0.2598681095
230	0.2597873379
231	0.259643108
232	0.259582009
233	0.2594874829
234	0.2593605944
235	0.2590966853
236	0.2590339708
237	0.2587640762
238	0.2586724613
239	0.2586045313
240	0.2584931988
241	0.2582104297
242	0.2581314144
243	0.2580054294
244	0.2577680105
245	0.2576604157
246	0.2575846552
247	0.2574360161
248	0.2573538592
249	0.2572579825
250	0.2571839794
251	0.2571282632
252	0.2569885286
253	0.2568714787
254	0.2566332869
255	0.2564703308
256	0.2564108598
257	0.2562987971
258	0.2562305606
259	0.2560909117
260	0.2560621046
261	0.2559959568
262	0.2559146114
263	0.2558739601
264	0.2558153357
265	0.2557183495
266	0.2556009069
267	0.2555197602
268	0.2553851182
269	0.255221991
270	0.255110395
271	0.2549858437
272	0.2549037081
273	0.2548303211
274	0.2547756073
275	0.2546347408
276	0.2545115055
277	0.2543845979
278	0.254255856
279	0.2542396646
280	0.2541888428
281	0.2540532056
282	0.2539691864
283	0.2538357747
284	0.2537586761
285	0.2536178161
286	0.2534754339
287	0.2534284073
288	0.2532366556
289	0.2531617433
290	0.2531039295
291	0.2530427275
292	0.252891776
293	0.2528657077
294	0.252751798
295	0.2526352883
296	0.2525805911
297	0.2524090295
298	0.25231846
299	0.2521939205
300	0.2521076631
301	0.2519558808
302	0.2518554113
303	0.2517407773
304	0.2516417782
305	0.2515058146
306	0.2513357798
307	0.2512747903
308	0.2511880934
309	0.2511088401
310	0.2509762059
311	0.2508820124
312	0.2507489069
313	0.2506701177
314	0.2504667153
315	0.2504101641
316	0.25034632
317	0.2502108983
318	0.2500963199
319	0.2500036507
320	0.2499390345
321	0.2498547729
322	0.2497341464
323	0.2495938288
324	0.2494277958
325	0.2491496236
326	0.2491084391
327	0.2490000003
328	0.2489308199
329	0.2488197456
330	0.2486330372
331	0.2485235848
332	0.2483989988
333	0.248273069
334	0.2481957223
335	0.2481077385
336	0.2480280613
337	0.247925115
338	0.2477913621
339	0.2475614857
340	0.2474242295
341	0.2472862565
342	0.2471889333
343	0.2471159213
344	0.2468851206
345	0.246826046
346	0.2466642204
347	0.2465732752
348	0.2464336658
349	0.246349518
350	0.246283639
351	0.2462195314
